case_id,P,REF
outer_holdout_160000_negative,4634.945417,4634.945417
outer_holdout_160000_positive,4687.852631,4687.852631
outer_holdout_160000_smooth,5106.040593,5106.040593
outer_holdout_160000_spatial_hash,4725.366206,4725.366206
outer_holdout_160001_negative,3647.760793,3671.392882
outer_holdout_160001_positive,3428.839475,3428.839475
outer_holdout_160001_smooth,3499.788209,3522.254237
outer_holdout_160001_spatial_hash,3510.717063,3528.509536
outer_holdout_160002_negative,4711.206443,4711.206443
outer_holdout_160002_positive,4824.044113,4824.044113
outer_holdout_160002_smooth,4650.74112,4650.74112
outer_holdout_160002_spatial_hash,4782.163436,4782.163436
outer_holdout_160003_negative,3529.962701,3529.962701
outer_holdout_160003_positive,3319.517765,3319.517765
outer_holdout_160003_smooth,3400.939792,3400.939792
outer_holdout_160003_spatial_hash,3435.442513,3435.442513
outer_holdout_160004_negative,5192.237038,5198.058467
outer_holdout_160004_positive,5334.759869,5334.759869
outer_holdout_160004_smooth,4621.022276,4621.022276
outer_holdout_160004_spatial_hash,4656.094387,4656.094387
outer_holdout_160005_negative,3103.894662,3115.862395
outer_holdout_160005_positive,2900.9396,2900.9396
outer_holdout_160005_smooth,3022.675801,3022.675801
outer_holdout_160005_spatial_hash,2938.791541,2944.673712
outer_holdout_160006_negative,4737.464947,4743.370638
outer_holdout_160006_positive,4274.017532,4274.017532
outer_holdout_160006_smooth,4834.888216,4838.682379
outer_holdout_160006_spatial_hash,4399.090776,4399.090776
outer_holdout_160007_negative,3046.569587,3046.569587
outer_holdout_160007_positive,3462.213699,3462.213699
outer_holdout_160007_smooth,3476.602067,3476.602067
outer_holdout_160007_spatial_hash,3466.200924,3466.200924
outer_holdout_160008_negative,5086.480837,5096.704612
outer_holdout_160008_positive,5109.022919,5109.022919
outer_holdout_160008_smooth,4538.814935,4544.809843
outer_holdout_160008_spatial_hash,4995.047268,4995.047268
outer_holdout_160009_negative,3113.277186,3113.277186
outer_holdout_160009_positive,3111.708529,3111.708529
outer_holdout_160009_smooth,3098.047269,3098.047269
outer_holdout_160009_spatial_hash,3100.376486,3100.376486
outer_holdout_160010_negative,5112.122776,5117.84381
outer_holdout_160010_positive,5084.528965,5084.528965
outer_holdout_160010_smooth,4833.57338,4833.57338
outer_holdout_160010_spatial_hash,5434.059607,5434.059607
outer_holdout_160011_negative,3168.436675,3168.436675
outer_holdout_160011_positive,2995.560621,2995.560621
outer_holdout_160011_smooth,2997.489304,2997.489304
outer_holdout_160011_spatial_hash,3055.977431,3055.977431
outer_holdout_160012_negative,4618.039434,4618.039434
outer_holdout_160012_positive,4603.997894,4603.997894
outer_holdout_160012_smooth,4568.266152,4568.266152
outer_holdout_160012_spatial_hash,4653.083283,4653.083283
outer_holdout_160013_negative,3758.397894,3776.047973
outer_holdout_160013_positive,3557.487799,3557.487799
outer_holdout_160013_smooth,3534.318881,3540.28443
outer_holdout_160013_spatial_hash,3662.297851,3679.747921
outer_holdout_160014_negative,5123.97562,5123.97562
outer_holdout_160014_positive,5118.601918,5118.601918
outer_holdout_160014_smooth,4844.08509,4844.08509
outer_holdout_160014_spatial_hash,4679.192004,4679.192004
outer_holdout_160015_negative,2990.685418,2990.685418
outer_holdout_160015_positive,2797.694209,2797.694209
outer_holdout_160015_smooth,2857.924981,2857.924981
outer_holdout_160015_spatial_hash,2785.157502,2785.157502
outer_holdout_160016_negative,4926.14626,4926.14626
outer_holdout_160016_positive,5103.523561,5103.523561
outer_holdout_160016_smooth,4999.490298,4999.490298
outer_holdout_160016_spatial_hash,4805.620456,4805.620456
outer_holdout_160017_negative,3431.027237,3431.027237
outer_holdout_160017_positive,3385.768363,3385.768363
outer_holdout_160017_smooth,3386.956996,3386.956996
outer_holdout_160017_spatial_hash,3390.197915,3390.197915
outer_holdout_160018_negative,4955.880658,4955.880658
outer_holdout_160018_positive,4722.974137,4722.974137
outer_holdout_160018_smooth,4992.217822,4992.217822
outer_holdout_160018_spatial_hash,4910.893037,4910.893037
outer_holdout_160019_negative,3135.51891,3135.51891
outer_holdout_160019_positive,3102.888945,3102.888945
outer_holdout_160019_smooth,3100.196014,3100.196014
outer_holdout_160019_spatial_hash,3088.90667,3088.90667
