case_id,DOMAIN,REF
outer_holdout_240000_negative,3784.024062,4263.592713
outer_holdout_240000_positive,3819.308249,4235.165367
outer_holdout_240000_smooth,3722.985645,4223.115189
outer_holdout_240000_spatial_hash,3766.178661,4168.943237
outer_holdout_240001_negative,3300.004345,2062.331348
outer_holdout_240001_positive,3306.173343,2208.487756
outer_holdout_240001_smooth,3331.982546,2207.09155
outer_holdout_240001_spatial_hash,3309.073568,2175.896893
outer_holdout_240002_negative,4862.980093,5072.906499
outer_holdout_240002_positive,3900.407611,4210.792077
outer_holdout_240002_smooth,4767.749942,5007.665667
outer_holdout_240002_spatial_hash,4054.005605,4375.141022
outer_holdout_240003_negative,3368.887193,2899.696621
outer_holdout_240003_positive,2988.629453,2752.564275
outer_holdout_240003_smooth,2981.796764,2764.181832
outer_holdout_240003_spatial_hash,2973.048154,2781.401364
outer_holdout_240004_negative,4393.963489,4883.139682
outer_holdout_240004_positive,4290.638443,4648.572619
outer_holdout_240004_smooth,4273.236307,4500.41352
outer_holdout_240004_spatial_hash,3978.955259,4284.41458
outer_holdout_240005_negative,3704.286284,2752.431233
outer_holdout_240005_positive,3627.653341,2702.930529
outer_holdout_240005_smooth,3688.340633,2732.987251
outer_holdout_240005_spatial_hash,3657.756318,2735.323233
outer_holdout_240006_negative,3859.634497,3999.349015
outer_holdout_240006_positive,3670.819516,3947.949063
outer_holdout_240006_smooth,3888.455376,4086.953812
outer_holdout_240006_spatial_hash,3679.456771,4030.595789
outer_holdout_240007_negative,2302.477071,1264.287409
outer_holdout_240007_positive,2396.309765,1066.764049
outer_holdout_240007_smooth,1171.87,1116.242544
outer_holdout_240007_spatial_hash,2567.221687,1104.757363
outer_holdout_240008_negative,3627.251651,4174.586105
outer_holdout_240008_positive,3670.469274,4131.25833
outer_holdout_240008_smooth,3535.994731,4122.404007
outer_holdout_240008_spatial_hash,3797.951644,4106.685119
outer_holdout_240009_negative,3068.27406,3062.363253
outer_holdout_240009_positive,2804.562839,2875.569777
outer_holdout_240009_smooth,3310.128501,2982.802408
outer_holdout_240009_spatial_hash,2999.545758,2935.1283
outer_holdout_240010_negative,3834.331331,4241.47685
outer_holdout_240010_positive,3526.724036,4064.320337
outer_holdout_240010_smooth,3850.280127,4024.16693
outer_holdout_240010_spatial_hash,3899.435068,4221.514336
outer_holdout_240011_negative,3400.629945,2899.765192
outer_holdout_240011_positive,3081.904473,2689.126026
outer_holdout_240011_smooth,3399.185882,2789.892871
outer_holdout_240011_spatial_hash,3209.622162,2945.189306
outer_holdout_240012_negative,4135.276259,4175.245358
outer_holdout_240012_positive,3993.0584,4308.485188
outer_holdout_240012_smooth,4105.252516,4176.034225
outer_holdout_240012_spatial_hash,3847.454301,3914.980718
outer_holdout_240013_negative,3658.706455,2675.723197
outer_holdout_240013_positive,3656.513327,2803.026223
outer_holdout_240013_smooth,3672.431015,2688.661382
outer_holdout_240013_spatial_hash,3671.302685,2666.212845
outer_holdout_240014_negative,3910.455332,4309.499941
outer_holdout_240014_positive,3826.847466,4350.386197
outer_holdout_240014_smooth,3903.508274,4549.240474
outer_holdout_240014_spatial_hash,3851.91901,4391.583296
outer_holdout_240015_negative,4089.435957,2509.762129
outer_holdout_240015_positive,4035.438331,2533.190806
outer_holdout_240015_smooth,4057.008034,2539.930069
outer_holdout_240015_spatial_hash,4082.611393,2667.03274
outer_holdout_240016_negative,4064.529733,4289.544914
outer_holdout_240016_positive,3813.665807,3950.687219
outer_holdout_240016_smooth,4234.370427,4700.268938
outer_holdout_240016_spatial_hash,3857.32519,4053.342087
outer_holdout_240017_negative,3238.568346,3017.546456
outer_holdout_240017_positive,3203.64914,2770.239305
outer_holdout_240017_smooth,3243.92475,2891.770457
outer_holdout_240017_spatial_hash,3230.169188,2801.084277
outer_holdout_240018_negative,3809.24902,4065.242477
outer_holdout_240018_positive,3546.881119,3855.784151
outer_holdout_240018_smooth,3591.171463,3998.032815
outer_holdout_240018_spatial_hash,4901.047878,5177.799291
outer_holdout_240019_negative,3622.54067,2818.463324
outer_holdout_240019_positive,3520.859537,2942.458876
outer_holdout_240019_smooth,3560.668641,2724.907497
outer_holdout_240019_spatial_hash,3588.119125,2792.786446
