case_id,FREE,REF
holdout_110019_negative,3748.900199,4122.933907
holdout_110035_positive,3873.321571,4081.208551
holdout_130011_positive,4531.892515,4693.288438
holdout_130023_negative,5894.038735,5618.749538
holdout_130023_smooth,5781.254819,5514.163573
holdout_190030_smooth,4442.801809,4698.589055
holdout_190046_smooth,4050.387892,4006.017541
holdout_190049_negative,3886.002509,3799.301534
holdout_40002_negative,4679.156433,5474.528423
holdout_40032_spatial_hash,3987.144407,4804.990427
outer_holdout_120008_positive,4267.86441,5116.079836
outer_holdout_120008_spatial_hash,4259.810654,5150.415311
outer_holdout_140018_negative,4858.612465,5946.953629
outer_holdout_50000_positive,4217.287192,5296.5858
structured_dev_5_positive,1396.139297,1396.139297
