case_id,FREE,REF
outer_holdout_220000_negative,4513.289792,5664.785881
outer_holdout_220000_positive,4820.819125,5754.787616
outer_holdout_220000_smooth,4459.532535,5639.319806
outer_holdout_220000_spatial_hash,4891.267444,5331.468228
outer_holdout_220001_negative,2303.874898,2639.22779
outer_holdout_220001_positive,2521.325249,3182.567146
outer_holdout_220001_smooth,2336.733014,2658.194101
outer_holdout_220001_spatial_hash,2301.939751,2649.489195
outer_holdout_220002_negative,4840.08715,4825.293128
outer_holdout_220002_positive,4529.949232,4743.549512
outer_holdout_220002_smooth,4569.52158,4782.023198
outer_holdout_220002_spatial_hash,4710.120938,5197.650726
outer_holdout_220003_negative,1902.307215,2025.873698
outer_holdout_220003_positive,1635.093406,1748.950154
outer_holdout_220003_smooth,1699.572956,1825.239961
outer_holdout_220003_spatial_hash,1642.911021,1779.824991
outer_holdout_220004_negative,4586.189706,5456.721567
outer_holdout_220004_positive,4516.774414,5443.808602
outer_holdout_220004_smooth,4494.144332,5141.460607
outer_holdout_220004_spatial_hash,4594.145525,5324.98849
outer_holdout_220005_negative,2723.213362,3435.027582
outer_holdout_220005_positive,2334.047041,3185.515242
outer_holdout_220005_smooth,2451.630083,3311.773006
outer_holdout_220005_spatial_hash,2423.251107,3206.521451
outer_holdout_220006_negative,4359.811748,5102.946563
outer_holdout_220006_positive,4349.843182,4977.915516
outer_holdout_220006_smooth,4502.861028,5088.844895
outer_holdout_220006_spatial_hash,4343.857158,4825.201417
outer_holdout_220007_negative,2610.438465,2851.016086
outer_holdout_220007_positive,2594.60639,2833.867852
outer_holdout_220007_smooth,2592.787788,2797.312693
outer_holdout_220007_spatial_hash,2729.504708,2826.145376
outer_holdout_220008_negative,5166.994348,5936.910086
outer_holdout_220008_positive,5071.695562,5824.254818
outer_holdout_220008_smooth,4995.650958,5972.311263
outer_holdout_220008_spatial_hash,5019.16448,5907.059751
outer_holdout_220009_negative,3086.564904,3381.090178
outer_holdout_220009_positive,2781.447307,3072.448813
outer_holdout_220009_smooth,2891.015143,3213.071769
outer_holdout_220009_spatial_hash,2902.22941,3225.188115
outer_holdout_220010_negative,4418.594586,4477.976359
outer_holdout_220010_positive,4285.167453,4402.697082
outer_holdout_220010_smooth,4320.58383,4518.177499
outer_holdout_220010_spatial_hash,4399.650281,4439.538862
outer_holdout_220011_negative,2706.282467,2706.282467
outer_holdout_220011_positive,2423.162945,2423.162945
outer_holdout_220011_smooth,2636.153916,2636.153916
outer_holdout_220011_spatial_hash,2513.926567,2513.926567
outer_holdout_220012_negative,4607.826504,5204.630168
outer_holdout_220012_positive,4541.831889,5118.481546
outer_holdout_220012_smooth,4590.720794,4712.652709
outer_holdout_220012_spatial_hash,4499.409085,4673.00584
outer_holdout_220013_negative,2957.015552,2957.015552
outer_holdout_220013_positive,2936.479286,2936.479286
outer_holdout_220013_smooth,2963.158536,2963.158536
outer_holdout_220013_spatial_hash,2922.584809,2922.584809
outer_holdout_220014_negative,4071.214636,4575.642615
outer_holdout_220014_positive,4010.557337,4428.531677
outer_holdout_220014_smooth,3916.577802,4543.105969
outer_holdout_220014_spatial_hash,3902.448014,4404.588145
outer_holdout_220015_negative,2957.098216,3308.485005
outer_holdout_220015_positive,2820.515078,3176.955874
outer_holdout_220015_smooth,2879.559043,3243.109527
outer_holdout_220015_spatial_hash,2840.878097,3186.049278
outer_holdout_220016_negative,4799.091945,5034.150355
outer_holdout_220016_positive,4867.642541,5171.157185
outer_holdout_220016_smooth,4516.458542,5433.006653
outer_holdout_220016_spatial_hash,4826.60667,5261.882079
outer_holdout_220017_negative,2408.312589,2698.468546
outer_holdout_220017_positive,2384.481477,2701.568087
outer_holdout_220017_smooth,2392.388873,2709.284091
outer_holdout_220017_spatial_hash,2390.036525,2715.687811
outer_holdout_220018_negative,4877.442316,5258.111236
outer_holdout_220018_positive,4352.411739,5982.719348
outer_holdout_220018_smooth,4865.508092,4913.276035
outer_holdout_220018_spatial_hash,4701.277804,4834.862292
outer_holdout_220019_negative,2610.647645,3338.922278
outer_holdout_220019_positive,2494.33323,3200.110857
outer_holdout_220019_smooth,2504.047654,3232.500479
outer_holdout_220019_spatial_hash,2504.589206,3240.244999
