case_id,PHASE,REF
outer_holdout_200000_negative,4946.335199,4946.335199
outer_holdout_200000_positive,4980.339827,4980.339827
outer_holdout_200000_smooth,5147.183999,5147.183999
outer_holdout_200000_spatial_hash,4385.976292,4385.976292
outer_holdout_200001_negative,1858.424463,1858.424463
outer_holdout_200001_positive,1563.051602,1563.051602
outer_holdout_200001_smooth,1645.052729,1645.052729
outer_holdout_200001_spatial_hash,1657.866211,1657.866211
outer_holdout_200002_negative,4881.480272,4881.480272
outer_holdout_200002_positive,4988.966804,4988.966804
outer_holdout_200002_smooth,4749.287858,4749.287858
outer_holdout_200002_spatial_hash,4897.154596,4897.154596
outer_holdout_200003_negative,2948.999223,2948.999223
outer_holdout_200003_positive,2896.70762,2896.70762
outer_holdout_200003_smooth,2917.922649,2917.922649
outer_holdout_200003_spatial_hash,2893.405526,2893.405526
outer_holdout_200004_negative,4971.386296,4971.386296
outer_holdout_200004_positive,4935.152367,4935.152367
outer_holdout_200004_smooth,5268.929055,5268.929055
outer_holdout_200004_spatial_hash,5395.645142,5395.645142
outer_holdout_200005_negative,3538.734778,3538.734778
outer_holdout_200005_positive,3380.959814,3380.959814
outer_holdout_200005_smooth,3440.978989,3440.978989
outer_holdout_200005_spatial_hash,3444.682295,3444.682295
outer_holdout_200006_negative,5853.684284,5853.684284
outer_holdout_200006_positive,6025.277587,6025.277587
outer_holdout_200006_smooth,6111.124427,6111.124427
outer_holdout_200006_spatial_hash,6120.426118,6120.426118
outer_holdout_200007_negative,3065.850824,3065.850824
outer_holdout_200007_positive,3584.302586,3584.302586
outer_holdout_200007_smooth,3029.819896,3029.819896
outer_holdout_200007_spatial_hash,3061.711323,3061.711323
outer_holdout_200008_negative,4294.542632,4294.542632
outer_holdout_200008_positive,3838.393163,3838.393163
outer_holdout_200008_smooth,4272.576569,4272.576569
outer_holdout_200008_spatial_hash,4239.227036,4239.227036
outer_holdout_200009_negative,3091.370195,3091.370195
outer_holdout_200009_positive,3099.37872,3099.37872
outer_holdout_200009_smooth,3069.693235,3069.693235
outer_holdout_200009_spatial_hash,3085.219359,3085.219359
outer_holdout_200010_negative,4818.20029,4818.20029
outer_holdout_200010_positive,5572.699803,5572.699803
outer_holdout_200010_smooth,5476.965291,5476.965291
outer_holdout_200010_spatial_hash,4782.350233,4782.350233
outer_holdout_200011_negative,3338.79715,3338.79715
outer_holdout_200011_positive,3168.799558,3168.799558
outer_holdout_200011_smooth,3271.638294,3271.638294
outer_holdout_200011_spatial_hash,3157.423879,3157.423879
outer_holdout_200012_negative,4243.548564,4243.548564
outer_holdout_200012_positive,4238.90581,4238.90581
outer_holdout_200012_smooth,4123.311214,4123.311214
outer_holdout_200012_spatial_hash,4129.342449,4129.342449
outer_holdout_200013_negative,3813.537244,3813.537244
outer_holdout_200013_positive,3543.283434,3543.283434
outer_holdout_200013_smooth,3648.86972,3648.86972
outer_holdout_200013_spatial_hash,3550.939221,3550.939221
outer_holdout_200014_negative,4022.615213,4022.615213
outer_holdout_200014_positive,3942.041305,3942.041305
outer_holdout_200014_smooth,4029.874335,4029.874335
outer_holdout_200014_spatial_hash,4038.837979,4038.837979
outer_holdout_200015_negative,3404.61398,3404.61398
outer_holdout_200015_positive,3196.693199,3196.693199
outer_holdout_200015_smooth,3247.181968,3247.181968
outer_holdout_200015_spatial_hash,3185.763388,3185.763388
outer_holdout_200016_negative,5061.534834,5061.534834
outer_holdout_200016_positive,4472.84714,4472.84714
outer_holdout_200016_smooth,4920.921492,4920.921492
outer_holdout_200016_spatial_hash,5015.307481,5015.307481
outer_holdout_200017_negative,1250.762816,1250.762816
outer_holdout_200017_positive,1036.857166,1036.857166
outer_holdout_200017_smooth,1079.223113,1079.223113
outer_holdout_200017_spatial_hash,1066.35793,1066.35793
outer_holdout_200018_negative,3757.294027,3757.294027
outer_holdout_200018_positive,4277.510291,4277.510291
outer_holdout_200018_smooth,4290.467588,4290.467588
outer_holdout_200018_spatial_hash,3884.321106,3884.321106
outer_holdout_200019_negative,3161.575592,3161.575592
outer_holdout_200019_positive,3105.981127,3105.981127
outer_holdout_200019_smooth,3101.273691,3101.273691
outer_holdout_200019_spatial_hash,3089.310481,3089.310481
