case_id,PHASE,REF
outer_holdout_200000_negative,4476.928458,4476.928458
outer_holdout_200000_positive,5043.740913,5043.740913
outer_holdout_200000_smooth,5147.191527,5147.191527
outer_holdout_200000_spatial_hash,4385.976292,4385.976292
outer_holdout_200001_negative,1858.503803,1858.503803
outer_holdout_200001_positive,1579.362082,1579.362082
outer_holdout_200001_smooth,1645.052729,1645.052729
outer_holdout_200001_spatial_hash,1657.866211,1657.866211
outer_holdout_200002_negative,4971.149266,4971.149266
outer_holdout_200002_positive,5016.270775,5016.270775
outer_holdout_200002_smooth,4749.305362,4749.305362
outer_holdout_200002_spatial_hash,4897.154596,4897.154596
outer_holdout_200003_negative,3089.872637,3089.872637
outer_holdout_200003_positive,2925.920141,2925.920141
outer_holdout_200003_smooth,2917.922649,2917.922649
outer_holdout_200003_spatial_hash,2893.405526,2893.405526
outer_holdout_200004_negative,5003.711862,5003.711862
outer_holdout_200004_positive,4748.465417,4748.465417
outer_holdout_200004_smooth,5268.929055,5268.929055
outer_holdout_200004_spatial_hash,5395.645142,5395.645142
outer_holdout_200005_negative,3538.753118,3538.753118
outer_holdout_200005_positive,3386.895236,3386.895236
outer_holdout_200005_smooth,3440.978989,3440.978989
outer_holdout_200005_spatial_hash,3444.682295,3444.682295
outer_holdout_200006_negative,5855.877394,5855.877394
outer_holdout_200006_positive,5765.979998,5765.979998
outer_holdout_200006_smooth,6111.124427,6111.124427
outer_holdout_200006_spatial_hash,6120.426118,6120.426118
outer_holdout_200007_negative,3065.838904,3065.838904
outer_holdout_200007_positive,3584.278806,3584.278806
outer_holdout_200007_smooth,3029.826384,3029.826384
outer_holdout_200007_spatial_hash,3061.711323,3061.711323
outer_holdout_200008_negative,4294.448179,4294.448179
outer_holdout_200008_positive,3838.395224,3838.395224
outer_holdout_200008_smooth,4272.576569,4272.576569
outer_holdout_200008_spatial_hash,4239.800582,4239.800582
outer_holdout_200009_negative,3101.011968,3101.011968
outer_holdout_200009_positive,3096.036503,3096.036503
outer_holdout_200009_smooth,3069.689149,3069.689149
outer_holdout_200009_spatial_hash,3085.219359,3085.219359
outer_holdout_200010_negative,4818.014243,4818.014243
outer_holdout_200010_positive,4831.058002,4831.058002
outer_holdout_200010_smooth,5477.011897,5477.011897
outer_holdout_200010_spatial_hash,4782.350233,4782.350233
outer_holdout_200011_negative,3195.845254,3195.845254
outer_holdout_200011_positive,3168.767905,3168.767905
outer_holdout_200011_smooth,3271.638294,3271.638294
outer_holdout_200011_spatial_hash,3157.423879,3157.423879
outer_holdout_200012_negative,4107.415907,4107.415907
outer_holdout_200012_positive,4238.925419,4238.925419
outer_holdout_200012_smooth,4123.324758,4123.324758
outer_holdout_200012_spatial_hash,4129.342449,4129.342449
outer_holdout_200013_negative,3802.939424,3802.939424
outer_holdout_200013_positive,3547.904261,3547.904261
outer_holdout_200013_smooth,3648.90306,3648.90306
outer_holdout_200013_spatial_hash,3550.939221,3550.939221
outer_holdout_200014_negative,4025.790117,4025.790117
outer_holdout_200014_positive,3840.110059,3840.110059
outer_holdout_200014_smooth,4029.874335,4029.874335
outer_holdout_200014_spatial_hash,4038.837979,4038.837979
outer_holdout_200015_negative,3404.835472,3404.835472
outer_holdout_200015_positive,3191.321682,3191.321682
outer_holdout_200015_smooth,3247.181968,3247.181968
outer_holdout_200015_spatial_hash,3185.763388,3185.763388
outer_holdout_200016_negative,5061.53917,5061.53917
outer_holdout_200016_positive,4806.77202,4806.77202
outer_holdout_200016_smooth,4920.921492,4920.921492
outer_holdout_200016_spatial_hash,5015.307481,5015.307481
outer_holdout_200017_negative,1250.695478,1250.695478
outer_holdout_200017_positive,1036.8515,1036.8515
outer_holdout_200017_smooth,1079.196341,1079.196341
outer_holdout_200017_spatial_hash,1066.35793,1066.35793
outer_holdout_200018_negative,3697.971141,3697.971141
outer_holdout_200018_positive,4321.715836,4321.715836
outer_holdout_200018_smooth,4290.473314,4290.473314
outer_holdout_200018_spatial_hash,3884.321106,3884.321106
outer_holdout_200019_negative,3174.749405,3174.749405
outer_holdout_200019_positive,3085.456196,3085.456196
outer_holdout_200019_smooth,3101.260735,3101.260735
outer_holdout_200019_spatial_hash,3089.310481,3089.310481
