case_id,FREE,REF
outer_holdout_220000_negative,4509.970311,5664.986719
outer_holdout_220000_positive,4815.729496,5646.195553
outer_holdout_220000_smooth,4459.532535,5639.319806
outer_holdout_220000_spatial_hash,4891.267444,5331.468228
outer_holdout_220001_negative,2303.977814,2639.27944
outer_holdout_220001_positive,2304.140023,2664.477738
outer_holdout_220001_smooth,2336.733014,2658.194101
outer_holdout_220001_spatial_hash,2301.939751,2649.489195
outer_holdout_220002_negative,4750.729429,4778.495323
outer_holdout_220002_positive,4636.444027,4848.835693
outer_holdout_220002_smooth,4569.52158,4782.023198
outer_holdout_220002_spatial_hash,4710.120938,5197.650726
outer_holdout_220003_negative,1902.33471,2025.956655
outer_holdout_220003_positive,1646.197462,1746.82063
outer_holdout_220003_smooth,1699.608303,1825.266675
outer_holdout_220003_spatial_hash,1642.911021,1779.824991
outer_holdout_220004_negative,5044.970803,5454.310017
outer_holdout_220004_positive,4507.048568,5441.48698
outer_holdout_220004_smooth,4494.144332,5141.460607
outer_holdout_220004_spatial_hash,4594.145525,5324.98849
outer_holdout_220005_negative,2723.175089,3434.852932
outer_holdout_220005_positive,2357.183126,3155.114622
outer_holdout_220005_smooth,2451.630083,3311.773006
outer_holdout_220005_spatial_hash,2423.251107,3206.521451
outer_holdout_220006_negative,4278.974894,4878.527165
outer_holdout_220006_positive,4587.92373,5450.591512
outer_holdout_220006_smooth,4502.861028,5088.844895
outer_holdout_220006_spatial_hash,4343.857158,4825.201417
outer_holdout_220007_negative,2761.344976,2883.227626
outer_holdout_220007_positive,2604.215032,2807.058337
outer_holdout_220007_smooth,2592.787788,2797.312693
outer_holdout_220007_spatial_hash,2729.504708,2826.145376
outer_holdout_220008_negative,4980.683574,5762.403022
outer_holdout_220008_positive,4471.565673,5462.526602
outer_holdout_220008_smooth,4995.650958,5972.311263
outer_holdout_220008_spatial_hash,5019.16448,5907.059751
outer_holdout_220009_negative,3094.306608,3396.114331
outer_holdout_220009_positive,2753.705594,3068.498711
outer_holdout_220009_smooth,2891.015143,3213.071769
outer_holdout_220009_spatial_hash,2902.22941,3225.188115
outer_holdout_220010_negative,4238.925589,4478.096668
outer_holdout_220010_positive,4813.604628,4808.793923
outer_holdout_220010_smooth,4320.58383,4518.174891
outer_holdout_220010_spatial_hash,4399.650281,4439.538862
outer_holdout_220011_negative,2728.102833,2728.102833
outer_holdout_220011_positive,2455.353151,2455.353151
outer_holdout_220011_smooth,2636.189091,2636.189091
outer_holdout_220011_spatial_hash,2513.98582,2513.98582
outer_holdout_220012_negative,4680.739381,4779.14755
outer_holdout_220012_positive,4594.026364,5170.619496
outer_holdout_220012_smooth,4590.743141,4712.675056
outer_holdout_220012_spatial_hash,4499.409085,4673.00584
outer_holdout_220013_negative,2956.946897,2956.946897
outer_holdout_220013_positive,2936.401485,2936.401485
outer_holdout_220013_smooth,2963.192885,2963.192885
outer_holdout_220013_spatial_hash,2922.584809,2922.584809
outer_holdout_220014_negative,3944.091177,4501.042046
outer_holdout_220014_positive,3745.103978,4372.122043
outer_holdout_220014_smooth,3916.577802,4543.105969
outer_holdout_220014_spatial_hash,3902.448014,4404.588145
outer_holdout_220015_negative,2946.764587,3308.386575
outer_holdout_220015_positive,2792.920556,3148.407658
outer_holdout_220015_smooth,2879.48657,3243.048465
outer_holdout_220015_spatial_hash,2840.878097,3186.049278
outer_holdout_220016_negative,4903.198813,5034.022025
outer_holdout_220016_positive,4371.851662,5068.257457
outer_holdout_220016_smooth,4516.442335,5432.969167
outer_holdout_220016_spatial_hash,4826.60667,5261.882079
outer_holdout_220017_negative,2388.872776,2716.449134
outer_holdout_220017_positive,2384.961264,2713.653482
outer_holdout_220017_smooth,2392.376403,2709.271621
outer_holdout_220017_spatial_hash,2390.036525,2715.687811
outer_holdout_220018_negative,4758.072274,5656.727436
outer_holdout_220018_positive,4352.453399,5982.668393
outer_holdout_220018_smooth,4865.508092,4913.276035
outer_holdout_220018_spatial_hash,4701.277804,4834.862292
outer_holdout_220019_negative,2624.411585,3373.161209
outer_holdout_220019_positive,2494.381526,3202.708101
outer_holdout_220019_smooth,2504.047654,3232.500479
outer_holdout_220019_spatial_hash,2504.589206,3240.244999
