case_id,K,REF
outer_holdout_100000_negative,4689.495465,4689.495465
outer_holdout_100000_positive,4562.266356,4562.266356
outer_holdout_100000_smooth,4591.658687,4591.658687
outer_holdout_100000_spatial_hash,4432.977132,4432.977132
outer_holdout_100001_negative,3443.645241,3443.645241
outer_holdout_100001_positive,3397.962881,3397.962881
outer_holdout_100001_smooth,3419.109775,3419.109775
outer_holdout_100001_spatial_hash,3435.330009,3435.330009
outer_holdout_100002_negative,6031.763623,6037.763623
outer_holdout_100002_positive,5319.793228,5524.174995
outer_holdout_100002_smooth,6219.319522,6225.319522
outer_holdout_100002_spatial_hash,5544.49331,5551.49331
outer_holdout_100003_negative,3215.968889,3215.968889
outer_holdout_100003_positive,3028.934016,3028.934016
outer_holdout_100003_smooth,3089.216414,3089.216414
outer_holdout_100003_spatial_hash,3119.660888,3119.660888
outer_holdout_100004_negative,4155.735236,4155.735236
outer_holdout_100004_positive,4049.443433,4049.443433
outer_holdout_100004_smooth,4359.16241,4359.16241
outer_holdout_100004_spatial_hash,4038.961191,4038.961191
outer_holdout_100005_negative,3519.874625,3519.874625
outer_holdout_100005_positive,3316.299067,3316.299067
outer_holdout_100005_smooth,3391.244723,3391.244723
outer_holdout_100005_spatial_hash,3360.687281,3360.687281
outer_holdout_100006_negative,6484.309224,6484.309224
outer_holdout_100006_positive,5555.688037,5555.688037
outer_holdout_100006_smooth,5634.550692,5634.550692
outer_holdout_100006_spatial_hash,5589.352424,5589.352424
outer_holdout_100007_negative,2871.773758,2871.773758
outer_holdout_100007_positive,2708.163506,2708.163506
outer_holdout_100007_smooth,2705.102847,2705.102847
outer_holdout_100007_spatial_hash,2722.192201,2722.192201
outer_holdout_100008_negative,5417.428183,5417.428183
outer_holdout_100008_positive,5712.5934,5712.5934
outer_holdout_100008_smooth,5695.862955,5695.862955
outer_holdout_100008_spatial_hash,5761.733721,5761.733721
outer_holdout_100009_negative,3652.248989,3652.248989
outer_holdout_100009_positive,3595.187747,3595.187747
outer_holdout_100009_smooth,3639.501364,3639.501364
outer_holdout_100009_spatial_hash,3226.651864,3226.651864
outer_holdout_100010_negative,5101.666371,5101.666371
outer_holdout_100010_positive,5842.147496,5842.147496
outer_holdout_100010_smooth,5200.363933,5200.363933
outer_holdout_100010_spatial_hash,5570.658292,5570.658292
outer_holdout_100011_negative,3442.333507,3442.333507
outer_holdout_100011_positive,3410.29175,3410.29175
outer_holdout_100011_smooth,3427.502236,3427.502236
outer_holdout_100011_spatial_hash,3399.254445,3399.254445
outer_holdout_100012_negative,4516.422841,4516.422841
outer_holdout_100012_positive,4598.660413,4598.660413
outer_holdout_100012_smooth,4314.021614,4314.021614
outer_holdout_100012_spatial_hash,4229.491342,4229.491342
outer_holdout_100013_negative,3189.756314,3189.756314
outer_holdout_100013_positive,3020.6455,3020.6455
outer_holdout_100013_smooth,3625.449084,3625.449084
outer_holdout_100013_spatial_hash,3028.218418,3028.218418
outer_holdout_100014_negative,4273.841954,4273.841954
outer_holdout_100014_positive,4334.467917,4334.467917
outer_holdout_100014_smooth,4270.772883,4270.772883
outer_holdout_100014_spatial_hash,4473.33083,4473.33083
outer_holdout_100015_negative,3367.366942,3367.366942
outer_holdout_100015_positive,3279.12189,3279.12189
outer_holdout_100015_smooth,3385.3192,3385.3192
outer_holdout_100015_spatial_hash,3328.073467,3328.073467
outer_holdout_100016_negative,6083.961211,6089.961211
outer_holdout_100016_positive,5674.025425,5680.025425
outer_holdout_100016_smooth,5706.109096,5712.109096
outer_holdout_100016_spatial_hash,5673.227857,5679.227857
outer_holdout_100017_negative,3425.807745,3425.807745
outer_holdout_100017_positive,3543.828225,3543.828225
outer_holdout_100017_smooth,3477.628599,3477.628599
outer_holdout_100017_spatial_hash,3552.336189,3552.336189
outer_holdout_100018_negative,5716.467945,5716.467945
outer_holdout_100018_positive,5721.70196,5721.70196
outer_holdout_100018_smooth,4972.964815,4972.964815
outer_holdout_100018_spatial_hash,5905.666636,5905.666636
outer_holdout_100019_negative,2714.75707,2714.75707
outer_holdout_100019_positive,2713.031174,2713.031174
outer_holdout_100019_smooth,2806.878731,2806.878731
outer_holdout_100019_spatial_hash,3314.706531,3314.706531
